,week,River_section_ID,year,yearweek_ID,riversection_weekid,total.biomass
1,35,Belarko Drift,2019,201935,Belarko Drift201935,19569.67271
2,35,Mid,2019,201935,Mid201935,16153.28989
3,35,Talus Drift,2019,201935,Talus Drift201935,15663.84139
4,35,Above Talus Drift,2019,201935,Above Talus Drift201935,16060.68715
5,36,Belarko Drift,2019,201936,Belarko Drift201936,15929.45638
6,36,Mid,2019,201936,Mid201936,19408.09188
7,36,Talus Drift,2019,201936,Talus Drift201936,22097.74621
8,36,Above Talus Drift,2019,201936,Above Talus Drift201936,22747.83462
9,37,Belarko Drift,2019,201937,Belarko Drift201937,23893.91369
10,37,Mid,2019,201937,Mid201937,27299.94189
11,37,Talus Drift,2019,201937,Talus Drift201937,28531.65103
12,37,Above Talus Drift,2019,201937,Above Talus Drift201937,28352.11049
13,38,Belarko Drift,2019,201938,Belarko Drift201938,16039.3693
14,38,Mid,2019,201938,Mid201938,16741.10593
15,38,Talus Drift,2019,201938,Talus Drift201938,16494.21187
16,38,Above Talus Drift,2019,201938,Above Talus Drift201938,16200.33596
17,39,Belarko Drift,2019,201939,Belarko Drift201939,8968.561981
18,39,Mid,2019,201939,Mid201939,5547.940439
19,39,Talus Drift,2019,201939,Talus Drift201939,2570.438741
20,39,Above Talus Drift,2019,201939,Above Talus Drift201939,1778.854965
21,40,Belarko Drift,2019,201940,Belarko Drift201940,4451.048597
22,40,Mid,2019,201940,Mid201940,2464.352069
23,40,Talus Drift,2019,201940,Talus Drift201940,710.6182144
24,40,Above Talus Drift,2019,201940,Above Talus Drift201940,326.6405354
25,33,Belarko Drift,2019,201933,Belarko Drift201933,1048.125333
26,33,Mid,2019,201933,Mid201933,744.2426838
27,33,Talus Drift,2019,201933,Talus Drift201933,347.9367935
28,33,Above Talus Drift,2019,201933,Above Talus Drift201933,208.0043308
29,34,Belarko Drift,2019,201934,Belarko Drift201934,2604.439907
30,34,Mid,2019,201934,Mid201934,5382.92366
31,34,Talus Drift,2019,201934,Talus Drift201934,8871.658843
32,34,Above Talus Drift,2019,201934,Above Talus Drift201934,10215.67877
33,33,Belarko Drift,2020,202033,Belarko Drift202033,NA
34,33,Mid,2020,202033,Mid202033,NA
35,33,Talus Drift,2020,202033,Talus Drift202033,NA
36,33,Above Talus Drift,2020,202033,Above Talus Drift202033,NA
37,34,Belarko Drift,2020,202034,Belarko Drift202034,NA
38,34,Mid,2020,202034,Mid202034,NA
39,34,Talus Drift,2020,202034,Talus Drift202034,NA
40,34,Above Talus Drift,2020,202034,Above Talus Drift202034,NA
41,35,Belarko Drift,2020,202035,Belarko Drift202035,53407
42,35,Mid,2020,202035,Mid202035,51717.98719
43,35,Talus Drift,2020,202035,Talus Drift202035,49565.2
44,35,Above Talus Drift,2020,202035,Above Talus Drift202035,48820.39542
45,36,Belarko Drift,2020,202036,Belarko Drift202036,17816
46,36,Mid,2020,202036,Mid202036,34718.1481
47,36,Talus Drift,2020,202036,Talus Drift202036,56299.8
48,36,Above Talus Drift,2020,202036,Above Talus Drift202036,63796.63438
49,37,Belarko Drift,2020,202037,Belarko Drift202037,14518
50,37,Mid,2020,202037,Mid202037,35826.4876
51,37,Talus Drift,2020,202037,Talus Drift202037,63034.4
52,37,Above Talus Drift,2020,202037,Above Talus Drift202037,72487.34986
53,38,Belarko Drift,2020,202038,Belarko Drift202038,11220
54,38,Mid,2020,202038,Mid202038,20664.80641
55,38,Talus Drift,2020,202038,Talus Drift202038,32727.45
56,38,Above Talus Drift,2020,202038,Above Talus Drift202038,36917.28266
57,39,Belarko Drift,2020,202039,Belarko Drift202039,8160
58,39,Mid,2020,202039,Mid202039,5638.960295
59,39,Talus Drift,2020,202039,Talus Drift202039,2420.5
60,39,Above Talus Drift,2020,202039,Above Talus Drift202039,1301.826934
61,40,Belarko Drift,2020,202040,Belarko Drift202040,4148
62,40,Mid,2020,202040,Mid202040,2560.795497
63,40,Talus Drift,2020,202040,Talus Drift202040,537
64,40,Above Talus Drift,2020,202040,Above Talus Drift202040,32.26074499
65,41,Belarko Drift,2020,202041,Belarko Drift202041,NA
66,41,Mid,2020,202041,Mid202041,NA
67,41,Talus Drift,2020,202041,Talus Drift202041,NA
68,41,Above Talus Drift,2020,202041,Above Talus Drift202041,NA
69,42,Belarko Drift,2020,202042,Belarko Drift202042,NA
70,42,Mid,2020,202042,Mid202042,NA
71,42,Talus Drift,2020,202042,Talus Drift202042,NA
72,42,Above Talus Drift,2020,202042,Above Talus Drift202042,NA
73,32,Belarko Drift,2021,202132,Belarko Drift202132,NA
74,32,Mid,2021,202132,Mid202132,NA
75,32,Above Talus Drift,2021,202132,Above Talus Drift202132,NA
76,33,Belarko Drift,2021,202133,Belarko Drift202133,544
77,33,Mid,2021,202133,Mid202133,382.7205894
78,33,Talus Drift,2021,202133,Talus Drift202133,176.8
79,33,Above Talus Drift,2021,202133,Above Talus Drift202133,105.2538682
80,34,Belarko Drift,2021,202134,Belarko Drift202134,1133
81,34,Mid,2021,202134,Mid202134,2603.868277
82,34,Talus Drift,2021,202134,Talus Drift202134,4482.4
83,34,Above Talus Drift,2021,202134,Above Talus Drift202134,5143.773066
84,35,Belarko Drift,2021,202135,Belarko Drift202135,1664
85,35,Mid,2021,202135,Mid202135,2319.043717
86,35,Talus Drift,2021,202135,Talus Drift202135,3158.1
87,35,Above Talus Drift,2021,202135,Above Talus Drift202135,3448.461891
88,36,Belarko Drift,2021,202136,Belarko Drift202136,6245.05
89,36,Mid,2021,202136,Mid202136,5784.460602
90,36,Talus Drift,2021,202136,Talus Drift202136,5201.25
91,36,Above Talus Drift,2021,202136,Above Talus Drift202136,4996.813324
92,37,Belarko Drift,2021,202137,Belarko Drift202137,10826.1
93,37,Mid,2021,202137,Mid202137,9252.377487
94,37,Talus Drift,2021,202137,Talus Drift202137,7244.4
95,37,Above Talus Drift,2021,202137,Above Talus Drift202137,6545.164756
96,38,Belarko Drift,2021,202138,Belarko Drift202138,7954.5
97,38,Mid,2021,202138,Mid202138,7281.713876
98,38,Talus Drift,2021,202138,Talus Drift202138,6424
99,38,Above Talus Drift,2021,202138,Above Talus Drift202138,6125.184814
100,39,Belarko Drift,2021,202139,Belarko Drift202139,415.8
101,39,Mid,2021,202139,Mid202139,506.629472
102,39,Talus Drift,2021,202139,Talus Drift202139,622.6
103,39,Above Talus Drift,2021,202139,Above Talus Drift202139,662.8934097
104,40,Belarko Drift,2021,202140,Belarko Drift202140,32.4
105,40,Mid,2021,202140,Mid202140,56.33716742
106,40,Talus Drift,2021,202140,Talus Drift202140,86.9
107,40,Above Talus Drift,2021,202140,Above Talus Drift202140,97.51891117
108,41,Belarko Drift,2021,202141,Belarko Drift202141,NA
109,41,Mid,2021,202141,Mid202141,NA
110,41,Talus Drift,2021,202141,Talus Drift202141,NA
111,41,Above Talus Drift,2021,202141,Above Talus Drift202141,NA
